,Attrition,Gender,OverTime,MaritalStatus,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,BusinessTravel,Education,EducationField,JobLevel,JobRole,Department,StockOptionLevel
253,0,Female,Yes,Single,4,Low,3,3,Very High,High,0,2,Life Sciences,2,Research Scientist,Research & Development,0
254,0,Male,No,Divorced,4,Very High,4,3,High,High,0,2,Marketing,2,Sales Executive,Sales,1
255,0,Female,No,Married,1,High,4,3,High,High,0,3,Life Sciences,2,Manufacturing Director,Research & Development,2
256,0,Female,Yes,Divorced,4,Low,3,3,Medium,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
257,0,Male,No,Divorced,1,High,4,3,High,High,0,2,Medical,5,Research Director,Research & Development,1
258,0,Male,No,Married,3,Very High,2,2,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
259,1,Male,No,Single,3,Medium,2,4,Medium,High,1,2,Medical,1,Laboratory Technician,Research & Development,0
260,0,Male,No,Married,2,Medium,3,1,Very High,Very High,1,3,Life Sciences,1,Laboratory Technician,Research & Development,0
261,0,Male,No,Married,4,Very High,4,3,Medium,High,Non-Travel,2,Life Sciences,2,Sales Executive,Sales,1
262,0,Male,No,Single,4,Low,4,3,Medium,High,0,1,Technical Degree,2,Laboratory Technician,Research & Development,0
263,0,Female,Yes,Married,3,Medium,2,2,Low,High,0,3,Technical Degree,4,Manager,Sales,1
264,1,Male,No,Single,1,High,3,1,High,High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,0
265,0,Male,No,Married,1,Medium,2,3,Medium,High,0,3,Medical,2,Sales Executive,Sales,2
266,0,Male,No,Married,2,Very High,2,3,Medium,Very High,0,3,Medical,2,Healthcare Representative,Research & Development,1
267,0,Male,No,Divorced,2,Low,4,3,Very High,High,Non-Travel,2,Life Sciences,2,Healthcare Representative,Research & Development,2
268,0,Male,Yes,Married,3,Very High,2,3,High,High,0,2,Medical,4,Healthcare Representative,Research & Development,0
269,0,Male,No,Married,4,Very High,3,3,High,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,1
270,0,Male,Yes,Single,4,Low,3,3,High,High,0,3,Medical,5,Manager,Research & Development,0
271,1,Male,Yes,Married,1,Medium,4,2,High,High,Non-Travel,4,Life Sciences,3,Manager,Research & Development,1
272,0,Male,No,Married,4,Very High,4,2,High,Very High,0,3,Medical,1,Research Scientist,Research & Development,1
273,0,Male,No,Married,3,Very High,2,4,High,High,0,4,Medical,2,Sales Executive,Sales,1
274,0,Male,No,Single,4,High,1,4,Medium,High,0,2,Medical,1,Research Scientist,Research & Development,0
275,0,Female,Yes,Divorced,1,Very High,1,3,High,High,Non-Travel,4,Medical,3,Research Director,Research & Development,2
276,0,Female,No,Divorced,2,Medium,2,2,Very High,High,0,3,Life Sciences,3,Manager,Research & Development,1
277,0,Female,Yes,Divorced,1,Low,3,3,Very High,Very High,0,2,Medical,2,Sales Executive,Sales,1
278,0,Female,No,Divorced,3,Medium,1,1,High,Very High,1,3,Life Sciences,2,Manufacturing Director,Research & Development,1
279,0,Male,No,Divorced,1,Medium,1,2,High,High,0,1,Life Sciences,5,Research Director,Research & Development,2
280,0,Male,Yes,Married,3,High,4,2,High,High,0,4,Medical,4,Research Director,Research & Development,3
281,0,Male,No,Married,2,High,3,3,High,Very High,0,1,Life Sciences,2,Sales Executive,Sales,0
282,0,Male,No,Single,2,Very High,1,2,High,High,1,2,Life Sciences,2,Sales Executive,Sales,0
283,0,Male,Yes,Married,2,Very High,4,3,High,High,0,2,Technical Degree,2,Laboratory Technician,Research & Development,1
284,0,Male,Yes,Married,1,Low,3,3,High,High,1,2,Medical,2,Healthcare Representative,Research & Development,1
285,0,Female,No,Single,4,Very High,2,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
286,1,Male,Yes,Divorced,4,High,4,1,High,Very High,1,3,Life Sciences,1,Laboratory Technician,Research & Development,1
287,0,Male,No,Divorced,4,Very High,2,3,High,High,0,4,Life Sciences,2,Healthcare Representative,Research & Development,1
288,1,Male,Yes,Divorced,1,Medium,4,3,High,High,0,4,Medical,1,Laboratory Technician,Research & Development,1
289,0,Female,No,Single,4,Very High,4,3,High,Very High,0,2,Life Sciences,1,Research Scientist,Research & Development,0
290,0,Female,Yes,Single,3,Low,4,3,High,High,1,4,Life Sciences,5,Research Director,Research & Development,0
291,0,Male,No,Single,3,Medium,4,3,High,High,0,3,Technical Degree,2,Research Scientist,Research & Development,0
292,0,Female,No,Divorced,4,Medium,3,2,High,High,1,3,Marketing,1,Sales Representative,Sales,1
293,1,Male,Yes,Single,4,Very High,2,3,Medium,High,0,4,Marketing,2,Sales Executive,Sales,0
294,0,Male,Yes,Married,2,Very High,3,2,High,High,1,3,Medical,1,Research Scientist,Research & Development,3
295,0,Female,No,Married,3,Medium,4,4,High,High,1,3,Marketing,4,Sales Executive,Sales,1
296,1,Male,No,Single,3,High,3,3,High,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
297,0,Male,No,Married,3,Medium,3,2,High,High,0,3,Marketing,3,Sales Executive,Sales,2
298,0,Male,No,Married,3,Very High,4,3,Very High,High,1,4,Life Sciences,1,Laboratory Technician,Research & Development,2
299,0,Male,No,Divorced,4,Medium,4,3,Low,High,0,3,Medical,2,Manufacturing Director,Research & Development,1
300,0,Male,No,Single,4,Medium,2,3,High,High,0,4,Life Sciences,4,Manager,Sales,0
301,0,Female,No,Single,4,High,1,3,Medium,High,0,3,Medical,1,Sales Representative,Sales,0
302,0,Male,No,Single,2,Low,3,3,Very High,High,0,2,Medical,2,Healthcare Representative,Research & Development,0
303,0,Male,No,Married,2,Very High,2,2,Very High,High,0,3,Technical Degree,2,Sales Executive,Sales,1
304,0,Male,No,Divorced,3,Very High,1,2,Very High,High,0,3,Medical,3,Healthcare Representative,Research & Development,3
305,0,Female,No,Married,2,Medium,3,3,High,High,Non-Travel,4,Life Sciences,2,Laboratory Technician,Research & Development,1
306,0,Male,No,Married,4,High,3,2,Medium,High,0,3,Life Sciences,2,Sales Executive,Sales,1
307,0,Female,No,Married,1,Medium,3,3,Medium,High,0,2,Life Sciences,3,Research Director,Research & Development,1
308,0,Male,Yes,Divorced,4,High,4,3,Low,High,Non-Travel,4,Life Sciences,2,Healthcare Representative,Research & Development,1
309,0,Male,Yes,Married,3,Very High,3,3,High,High,0,4,Technical Degree,1,Research Scientist,Research & Development,1
310,0,Male,No,Married,1,Low,4,3,Medium,High,0,3,Human Resources,2,Human Resources,Human Resources,0
311,0,Male,No,Divorced,1,Low,1,3,High,High,1,3,Life Sciences,3,Laboratory Technician,Research & Development,1
312,0,Male,Yes,Divorced,3,Very High,2,1,High,High,0,4,Life Sciences,1,Research Scientist,Research & Development,1
313,0,Female,No,Married,4,Medium,2,3,High,High,1,4,Life Sciences,3,Manager,Research & Development,2
314,0,Male,Yes,Married,3,Low,4,3,High,High,0,1,Medical,4,Manager,Research & Development,0
315,0,Female,No,Single,3,Very High,1,3,High,High,1,4,Life Sciences,1,Laboratory Technician,Research & Development,0
316,0,Female,Yes,Single,3,High,4,3,Medium,High,0,2,Technical Degree,4,Healthcare Representative,Research & Development,0
317,1,Male,No,Married,3,Medium,1,2,Medium,High,0,4,Medical,2,Research Scientist,Research & Development,0
318,0,Female,Yes,Single,3,Medium,2,2,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
319,0,Female,Yes,Married,3,Medium,4,3,Medium,High,0,2,Technical Degree,2,Sales Executive,Sales,0
320,0,Male,Yes,Single,4,High,1,3,High,High,0,3,Life Sciences,2,Sales Executive,Sales,0
321,0,Male,No,Divorced,4,Very High,4,3,High,High,0,3,Marketing,2,Sales Executive,Sales,3
322,0,Female,No,Single,1,Very High,3,2,Very High,High,0,4,Medical,2,Research Scientist,Research & Development,0
323,1,Male,Yes,Married,1,Very High,4,2,Low,High,0,4,Medical,1,Research Scientist,Research & Development,0
324,0,Female,No,Married,4,Very High,4,3,High,High,0,2,Medical,2,Research Scientist,Research & Development,2
325,0,Female,No,Married,3,High,1,3,Medium,Very High,1,2,Life Sciences,3,Manufacturing Director,Research & Development,1
326,0,Male,No,Married,3,Very High,1,3,Medium,High,1,2,Medical,5,Manager,Research & Development,1
327,1,Female,Yes,Married,4,High,1,2,High,High,0,2,Medical,2,Sales Executive,Sales,0
328,0,Male,No,Single,2,Very High,3,2,Medium,High,1,3,Marketing,2,Sales Executive,Sales,0
329,0,Male,No,Married,4,High,2,3,High,High,0,5,Life Sciences,5,Research Director,Research & Development,1
330,0,Female,No,Divorced,3,High,2,4,Medium,High,1,4,Life Sciences,2,Laboratory Technician,Research & Development,1
331,0,Male,Yes,Married,3,Medium,4,3,High,High,Non-Travel,1,Marketing,2,Sales Executive,Sales,1
332,0,Female,No,Single,4,High,4,2,High,High,1,4,Life Sciences,2,Research Scientist,Research & Development,0
333,0,Female,No,Married,3,Low,1,2,High,High,0,3,Life Sciences,3,Healthcare Representative,Research & Development,1
334,0,Male,No,Married,4,Very High,1,3,High,High,0,4,Other,2,Research Scientist,Research & Development,2
335,0,Male,Yes,Married,2,Very High,3,2,Low,Very High,0,2,Medical,2,Sales Executive,Sales,3
336,1,Male,Yes,Married,2,Low,4,2,Low,High,0,4,Other,1,Laboratory Technician,Research & Development,0
337,0,Male,No,Single,2,Very High,3,3,Medium,High,0,5,Other,1,Laboratory Technician,Research & Development,0
338,0,Female,No,Divorced,4,High,3,3,Medium,High,0,3,Marketing,2,Sales Executive,Sales,3
339,0,Female,No,Married,2,Medium,1,3,High,High,0,4,Marketing,2,Sales Executive,Sales,1
340,0,Male,No,Divorced,4,Very High,3,2,High,High,0,2,Medical,2,Manufacturing Director,Research & Development,2
341,0,Male,Yes,Divorced,3,Very High,2,3,Medium,High,0,2,Life Sciences,3,Research Director,Research & Development,1
342,0,Female,Yes,Single,3,Very High,3,2,High,High,0,4,Medical,3,Manufacturing Director,Research & Development,0
343,0,Female,Yes,Divorced,4,Medium,1,3,Medium,High,0,1,Marketing,2,Sales Executive,Sales,2
344,0,Male,No,Single,3,Medium,4,3,High,High,0,4,Technical Degree,3,Manufacturing Director,Research & Development,0
345,0,Male,No,Divorced,3,Very High,3,2,High,High,0,1,Life Sciences,1,Research Scientist,Research & Development,2
346,0,Male,Yes,Single,4,Medium,4,3,Medium,High,0,3,Medical,2,Manufacturing Director,Research & Development,0
347,0,Male,No,Single,2,High,1,3,High,High,1,1,Medical,2,Sales Representative,Sales,0
348,0,Female,No,Single,1,Very High,2,3,High,High,0,5,Life Sciences,4,Research Director,Research & Development,0
349,0,Male,No,Married,4,High,1,2,High,High,Non-Travel,3,Life Sciences,2,Sales Executive,Sales,1
350,0,Male,Yes,Divorced,3,High,3,3,High,High,0,1,Technical Degree,1,Human Resources,Human Resources,1
351,0,Female,No,Married,3,Medium,3,3,High,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
352,0,Female,No,Married,1,High,2,1,High,Very High,0,1,Medical,3,Manager,Sales,1
353,0,Male,Yes,Divorced,3,Low,1,3,Very High,High,0,3,Medical,2,Research Scientist,Research & Development,2
354,0,Female,Yes,Married,4,High,2,4,High,High,Non-Travel,2,Technical Degree,2,Sales Executive,Sales,1
355,0,Male,No,Married,3,High,2,3,High,High,0,3,Life Sciences,2,Sales Executive,Sales,1
356,0,Male,No,Single,1,Very High,2,3,Medium,Very High,0,4,Other,2,Healthcare Representative,Research & Development,0
357,1,Female,Yes,Single,1,Medium,3,3,Medium,High,1,1,Technical Degree,1,Sales Representative,Sales,0
358,0,Female,No,Single,4,Very High,2,3,High,High,Non-Travel,5,Medical,2,Sales Executive,Sales,0
359,0,Male,No,Married,1,Very High,1,3,Medium,High,1,4,Medical,3,Sales Executive,Sales,1
360,0,Male,No,Married,4,High,3,3,High,High,0,4,Medical,2,Healthcare Representative,Research & Development,0
361,0,Female,Yes,Married,4,High,3,3,Very High,High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,1
362,0,Male,No,Single,1,Very High,3,2,High,Very High,Non-Travel,2,Medical,1,Sales Representative,Sales,0
363,1,Female,Yes,Single,4,High,2,3,High,High,0,3,Marketing,1,Sales Representative,Sales,0
364,0,Female,No,Married,3,Low,2,3,High,Very High,0,3,Medical,1,Laboratory Technician,Research & Development,1
365,0,Female,No,Married,3,High,3,4,High,High,Non-Travel,4,Medical,2,Manufacturing Director,Research & Development,0
366,1,Male,No,Single,1,Medium,3,3,High,High,1,3,Marketing,2,Sales Executive,Sales,0
367,0,Male,No,Single,4,Very High,4,3,Medium,High,0,3,Technical Degree,3,Healthcare Representative,Research & Development,0
368,1,Male,Yes,Married,3,High,1,3,Medium,High,0,2,Marketing,2,Sales Executive,Sales,2
369,0,Male,Yes,Single,3,Medium,4,3,Medium,High,0,4,Life Sciences,1,Research Scientist,Research & Development,0
370,1,Female,No,Single,3,Medium,4,3,Very High,High,0,3,Life Sciences,1,Sales Representative,Sales,0
371,0,Male,No,Single,4,Very High,4,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
372,0,Male,No,Single,3,Medium,3,3,Medium,High,0,4,Life Sciences,2,Healthcare Representative,Research & Development,0
373,0,Male,No,Divorced,4,Medium,2,3,High,High,0,2,Medical,1,Laboratory Technician,Research & Development,1
374,0,Male,No,Single,2,Very High,4,3,High,High,0,4,Life Sciences,2,Sales Executive,Sales,0
375,0,Male,No,Single,2,High,3,3,Medium,Very High,0,3,Other,3,Healthcare Representative,Research & Development,0
376,0,Female,No,Married,3,Very High,3,2,High,High,0,2,Life Sciences,2,Sales Executive,Sales,1
377,0,Female,No,Married,4,High,2,3,High,High,0,3,Life Sciences,1,Research Scientist,Research & Development,1
378,1,Male,Yes,Single,1,Very High,2,2,Very High,High,Non-Travel,3,Marketing,2,Sales Executive,Sales,0
379,0,Female,Yes,Single,3,Very High,3,3,High,High,0,3,Life Sciences,4,Manager,Research & Development,0
380,0,Female,Yes,Divorced,4,High,4,4,High,High,0,4,Marketing,2,Sales Executive,Sales,1
381,0,Male,No,Married,3,Medium,1,3,High,High,0,1,Technical Degree,1,Sales Representative,Sales,1
382,1,Male,No,Single,3,Low,3,3,High,Very High,1,1,Technical Degree,1,Research Scientist,Research & Development,0
383,0,Female,No,Married,1,Medium,4,3,High,High,0,3,Medical,1,Research Scientist,Research & Development,1
384,0,Male,No,Married,2,High,2,3,Medium,High,0,2,Medical,3,Sales Executive,Sales,2
385,1,Male,Yes,Single,3,Very High,3,3,High,Very High,1,3,Technical Degree,1,Research Scientist,Research & Development,0
386,0,Female,No,Divorced,4,Low,3,2,High,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,1
387,0,Female,No,Divorced,4,Medium,3,3,High,High,0,2,Marketing,2,Sales Executive,Sales,2
388,0,Female,No,Divorced,2,Low,2,3,High,High,0,4,Life Sciences,1,Laboratory Technician,Research & Development,1
389,0,Male,Yes,Single,3,Medium,4,2,High,High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,0
390,0,Male,No,Divorced,1,Medium,3,3,Medium,High,0,3,Life Sciences,4,Research Director,Research & Development,1
391,0,Female,No,Married,2,High,2,3,Medium,Very High,0,3,Medical,2,Laboratory Technician,Research & Development,1
392,0,Male,No,Married,1,Low,3,2,High,High,0,2,Medical,5,Research Director,Research & Development,1
393,0,Female,No,Married,3,High,1,3,High,High,Non-Travel,4,Marketing,2,Sales Executive,Sales,1
394,0,Female,No,Married,2,Low,2,1,High,High,0,2,Medical,2,Manufacturing Director,Research & Development,1
395,0,Male,No,Married,4,Very High,1,3,High,Very High,1,3,Medical,1,Laboratory Technician,Research & Development,1
396,0,Female,Yes,Divorced,3,High,4,3,High,High,0,4,Other,2,Healthcare Representative,Research & Development,0
397,0,Female,Yes,Single,2,Very High,2,3,Medium,High,0,2,Life Sciences,2,Sales Executive,Sales,0
398,0,Female,Yes,Married,2,High,1,3,High,High,Non-Travel,5,Medical,2,Research Scientist,Research & Development,2
399,0,Male,No,Married,4,Low,3,3,Medium,High,0,2,Life Sciences,1,Laboratory Technician,Research & Development,1
400,0,Male,Yes,Divorced,2,High,3,3,High,High,1,1,Life Sciences,5,Manager,Research & Development,1
401,0,Female,No,Married,3,Low,4,2,Very High,High,1,3,Life Sciences,4,Sales Executive,Sales,3
402,0,Female,No,Single,2,High,2,3,High,High,0,3,Technical Degree,2,Sales Executive,Sales,0
403,0,Male,No,Married,2,Low,3,3,Very High,High,0,3,Marketing,3,Sales Executive,Sales,1
404,0,Male,No,Divorced,3,Low,4,3,High,High,0,2,Medical,2,Laboratory Technician,Research & Development,1
405,1,Male,No,Married,1,Low,3,3,High,High,0,3,Medical,1,Laboratory Technician,Research & Development,1
406,0,Male,Yes,Married,4,High,3,3,Medium,High,0,3,Medical,3,Manufacturing Director,Research & Development,0
407,0,Male,No,Married,1,Very High,4,2,High,Very High,0,2,Life Sciences,1,Research Scientist,Research & Development,2
408,0,Female,No,Married,4,Very High,4,1,High,High,0,2,Life Sciences,4,Manager,Research & Development,0
409,0,Female,No,Divorced,1,High,2,3,High,High,1,2,Life Sciences,2,Research Scientist,Research & Development,1
410,0,Female,No,Single,3,Very High,3,3,Low,Very High,0,3,Life Sciences,2,Manufacturing Director,Research & Development,0
411,0,Female,No,Married,1,Low,4,1,High,High,0,3,Life Sciences,5,Manager,Research & Development,0
412,0,Female,No,Divorced,3,High,3,2,High,High,0,3,Medical,2,Manufacturing Director,Research & Development,1
413,0,Female,No,Married,4,Very High,4,4,Medium,High,1,4,Technical Degree,2,Healthcare Representative,Research & Development,3
414,1,Female,Yes,Single,1,Medium,2,3,High,High,0,1,Technical Degree,1,Sales Representative,Sales,0
415,1,Female,No,Divorced,4,High,4,2,Low,High,1,2,Marketing,1,Sales Representative,Sales,1
416,0,Male,Yes,Married,4,Very High,3,3,High,Very High,1,2,Life Sciences,1,Laboratory Technician,Research & Development,1
417,0,Female,No,Married,3,High,4,3,High,High,0,4,Life Sciences,5,Manager,Sales,0
418,0,Female,No,Divorced,1,Very High,2,1,High,Very High,0,3,Life Sciences,1,Research Scientist,Research & Development,2
419,0,Male,No,Married,3,Very High,3,1,High,High,Non-Travel,3,Life Sciences,1,Laboratory Technician,Research & Development,1
420,0,Male,No,Married,2,High,3,3,Medium,High,0,4,Medical,3,Research Director,Research & Development,0
421,1,Female,No,Married,3,Medium,2,4,Medium,High,0,5,Technical Degree,1,Research Scientist,Research & Development,0
422,1,Male,No,Single,1,Very High,3,4,Medium,High,0,2,Technical Degree,1,Human Resources,Human Resources,0
423,0,Female,No,Married,3,Low,3,3,High,High,Non-Travel,4,Other,3,Sales Executive,Sales,0
424,0,Male,No,Divorced,1,Very High,3,2,Medium,High,0,3,Marketing,4,Manager,Sales,1
425,0,Male,No,Married,2,High,2,3,Medium,High,0,4,Life Sciences,4,Manager,Research & Development,1
426,0,Female,No,Single,3,Very High,3,2,High,High,Non-Travel,3,Medical,1,Laboratory Technician,Research & Development,0
427,0,Female,No,Married,3,Low,4,4,Medium,High,1,3,Marketing,3,Sales Executive,Sales,0
428,0,Female,No,Divorced,1,Very High,3,3,High,High,0,2,Medical,2,Manufacturing Director,Research & Development,3
429,0,Male,No,Married,1,High,3,1,High,High,0,3,Life Sciences,4,Research Director,Research & Development,0
430,0,Male,No,Single,4,High,3,3,Low,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,0
431,0,Female,No,Single,3,High,3,3,High,High,0,4,Life Sciences,2,Laboratory Technician,Research & Development,0
432,0,Male,No,Divorced,4,High,3,3,Medium,High,0,4,Life Sciences,1,Research Scientist,Research & Development,1
433,0,Female,Yes,Married,3,Very High,3,3,Medium,High,0,3,Marketing,3,Sales Executive,Sales,1
434,0,Male,No,Divorced,3,Medium,4,4,High,Very High,0,1,Life Sciences,3,Manufacturing Director,Research & Development,1
435,1,Male,Yes,Married,2,High,4,4,High,High,0,1,Medical,3,Manager,Research & Development,0
436,1,Male,No,Divorced,1,Very High,1,3,Low,High,0,1,Medical,1,Laboratory Technician,Research & Development,3
437,0,Male,No,Single,4,Medium,1,3,High,High,0,1,Marketing,1,Sales Representative,Sales,0
438,0,Male,Yes,Married,4,High,3,3,High,High,0,3,Life Sciences,3,Healthcare Representative,Research & Development,0
439,1,Male,No,Married,1,High,1,3,High,High,1,3,Life Sciences,3,Healthcare Representative,Research & Development,0
440,1,Female,Yes,Divorced,2,Low,3,3,High,High,1,3,Human Resources,3,Human Resources,Human Resources,3
441,0,Male,No,Married,2,High,4,3,High,High,1,2,Other,1,Laboratory Technician,Research & Development,1
442,0,Male,No,Single,2,Very High,4,2,High,High,Non-Travel,4,Medical,3,Sales Executive,Sales,0
443,1,Male,No,Single,3,High,3,3,Medium,High,1,1,Technical Degree,1,Laboratory Technician,Research & Development,0
444,0,Female,No,Married,2,Very High,1,3,High,High,0,5,Marketing,2,Sales Executive,Sales,1
445,0,Female,No,Single,1,Medium,4,3,High,Very High,0,5,Life Sciences,4,Manager,Sales,0
446,0,Male,No,Single,4,Very High,4,3,High,High,Non-Travel,2,Life Sciences,2,Sales Executive,Sales,0
447,0,Male,No,Married,2,High,3,3,High,High,0,3,Marketing,2,Sales Executive,Sales,0
448,0,Female,No,Single,2,High,3,3,High,High,0,3,Life Sciences,4,Manufacturing Director,Research & Development,0
449,0,Female,No,Married,3,High,1,3,High,High,1,1,Life Sciences,1,Laboratory Technician,Research & Development,1
450,0,Male,Yes,Single,2,Very High,3,4,High,High,0,1,Life Sciences,2,Sales Executive,Sales,0
451,0,Male,Yes,Married,4,Low,4,2,High,Very High,0,3,Medical,3,Manufacturing Director,Research & Development,1
452,0,Male,No,Married,4,Medium,2,4,High,High,0,3,Other,2,Sales Executive,Sales,1
453,1,Female,Yes,Divorced,2,High,2,2,High,High,1,4,Life Sciences,1,Human Resources,Human Resources,1
454,0,Male,No,Divorced,4,Very High,2,4,High,High,0,3,Technical Degree,2,Manufacturing Director,Research & Development,2
455,0,Female,No,Divorced,1,High,3,3,Very High,High,0,5,Medical,4,Research Director,Research & Development,1
456,0,Male,No,Divorced,3,Very High,3,2,Medium,Very High,0,3,Life Sciences,3,Manager,Sales,1
457,1,Male,Yes,Single,2,Medium,4,3,High,High,1,3,Marketing,1,Sales Representative,Sales,0
458,0,Male,No,Divorced,3,Low,3,3,Low,High,Non-Travel,3,Other,3,Sales Executive,Sales,1
459,0,Female,Yes,Single,1,High,1,3,Medium,High,Non-Travel,4,Other,2,Healthcare Representative,Research & Development,0
460,0,Male,No,Divorced,1,High,1,3,High,High,0,2,Medical,2,Sales Executive,Sales,2
461,0,Female,No,Single,1,High,4,3,High,High,0,3,Medical,2,Sales Executive,Sales,0
462,0,Male,No,Single,4,Very High,4,3,Very High,High,0,4,Life Sciences,2,Sales Executive,Sales,0
463,1,Male,Yes,Single,3,Very High,2,1,Low,High,0,3,Technical Degree,1,Laboratory Technician,Research & Development,0
464,0,Female,No,Single,2,Very High,4,4,High,High,0,3,Technical Degree,3,Manufacturing Director,Research & Development,0
465,0,Female,No,Married,1,High,4,2,High,High,1,1,Medical,3,Healthcare Representative,Research & Development,0
466,0,Female,No,Married,2,Low,2,3,High,High,0,5,Life Sciences,4,Manager,Sales,1
467,0,Male,No,Divorced,1,Medium,4,3,High,High,Non-Travel,4,Medical,3,Sales Executive,Sales,1
468,0,Male,Yes,Divorced,4,Low,2,3,High,High,0,2,Technical Degree,2,Research Scientist,Research & Development,2
469,1,Male,No,Married,4,High,4,3,Very High,High,Non-Travel,4,Other,2,Sales Executive,Sales,0
470,0,Male,No,Married,4,Very High,3,3,High,High,1,3,Medical,1,Sales Representative,Sales,2
471,0,Female,No,Married,3,High,3,3,High,High,0,3,Medical,2,Healthcare Representative,Research & Development,1
472,0,Female,No,Married,2,Medium,2,2,High,High,0,4,Life Sciences,2,Manufacturing Director,Research & Development,1
473,0,Male,Yes,Divorced,4,High,3,3,Medium,High,0,4,Life Sciences,5,Research Director,Research & Development,1
474,0,Male,Yes,Married,2,Very High,2,3,Very High,High,0,3,Medical,1,Research Scientist,Research & Development,2
475,0,Male,No,Married,1,Medium,4,4,High,Very High,0,2,Marketing,2,Sales Executive,Sales,2
476,0,Male,No,Married,4,Medium,4,3,Medium,Very High,0,2,Other,1,Laboratory Technician,Research & Development,1
477,0,Male,No,Married,1,Medium,3,3,High,High,1,3,Medical,5,Manager,Human Resources,1
478,0,Male,No,Married,2,High,3,3,High,High,0,1,Medical,1,Sales Representative,Sales,0
479,1,Female,Yes,Married,1,High,4,3,High,High,1,3,Life Sciences,1,Laboratory Technician,Research & Development,1
480,1,Male,No,Married,2,Low,3,4,Medium,High,1,4,Life Sciences,1,Sales Representative,Sales,1
481,0,Male,Yes,Married,2,Very High,4,3,Medium,High,0,2,Life Sciences,1,Research Scientist,Research & Development,1
482,1,Male,No,Divorced,2,Low,3,1,High,High,0,4,Medical,2,Sales Executive,Sales,0
483,0,Male,No,Single,1,Very High,4,3,Medium,High,0,2,Other,2,Laboratory Technician,Research & Development,0
484,0,Male,No,Divorced,1,Very High,4,4,Very High,Very High,0,4,Medical,2,Sales Executive,Sales,2
485,0,Female,No,Divorced,1,High,3,2,Medium,High,0,4,Medical,1,Research Scientist,Research & Development,2
486,0,Male,Yes,Married,4,High,3,2,High,High,0,3,Marketing,2,Sales Executive,Sales,1
487,0,Female,No,Single,4,Medium,4,4,Medium,High,0,3,Life Sciences,1,Research Scientist,Research & Development,0
488,0,Female,No,Married,3,Very High,2,3,High,High,0,4,Life Sciences,2,Healthcare Representative,Research & Development,2
489,0,Male,Yes,Divorced,2,Very High,3,2,Medium,High,0,4,Other,4,Research Director,Research & Development,1
490,0,Female,No,Single,3,Low,4,2,High,High,0,1,Life Sciences,1,Research Scientist,Research & Development,0
491,0,Male,Yes,Divorced,4,High,2,3,High,High,1,5,Medical,2,Laboratory Technician,Research & Development,1
492,0,Female,No,Married,4,Low,1,1,Medium,High,0,4,Life Sciences,4,Manager,Research & Development,1
493,0,Female,No,Single,1,High,2,4,Medium,High,0,4,Life Sciences,2,Human Resources,Human Resources,0
494,0,Female,Yes,Divorced,3,High,4,3,High,High,0,3,Technical Degree,1,Sales Representative,Sales,2
495,1,Male,No,Divorced,3,Low,2,3,High,High,0,1,Marketing,1,Sales Representative,Sales,1
496,0,Male,No,Single,3,High,3,3,High,High,0,1,Technical Degree,1,Sales Representative,Sales,0
497,0,Male,Yes,Married,4,Very High,1,4,High,High,0,4,Other,5,Manager,Research & Development,1
498,0,Male,No,Married,1,High,4,3,High,Very High,0,1,Medical,1,Research Scientist,Research & Development,0
499,0,Male,No,Divorced,3,High,4,3,High,High,0,4,Marketing,2,Sales Executive,Sales,0
500,0,Female,Yes,Married,1,Very High,4,2,High,High,0,4,Life Sciences,2,Research Scientist,Research & Development,1
501,0,Female,No,Divorced,3,High,3,3,High,Very High,1,3,Medical,1,Research Scientist,Research & Development,1
502,0,Female,No,Single,4,Low,4,4,High,Very High,0,1,Medical,2,Sales Executive,Sales,0
503,0,Male,No,Married,2,Very High,4,2,High,High,0,5,Life Sciences,1,Research Scientist,Research & Development,1
504,1,Female,No,Married,1,Low,4,3,High,High,1,4,Life Sciences,2,Sales Executive,Sales,2
505,0,Female,Yes,Married,3,Very High,3,3,High,High,0,3,Life Sciences,1,Laboratory Technician,Research & Development,1
506,0,Male,No,Married,3,High,3,3,High,High,0,3,Other,3,Manufacturing Director,Research & Development,1
507,0,Female,No,Married,2,High,1,2,High,High,0,2,Medical,2,Sales Executive,Sales,1
508,0,Male,No,Single,2,Very High,2,3,Low,High,0,4,Life Sciences,2,Research Scientist,Research & Development,0
509,0,Male,No,Divorced,3,Very High,3,1,High,Very High,1,3,Life Sciences,2,Healthcare Representative,Research & Development,1
